"","count","min","median","max","sd","IQR"
"1",19,0.4565,1.3215,7.3805,1.6250896457504,1.69325
"2",19,0.0475,0.8315,2.189,0.597095144102773,0.615
"3",19,0.0175,0.0685,0.168,0.0411334122379749,0.0445
